BAS_LOC_RM,% Macrophyte,Depth,Width,Current,Canopy,Temp,pH,DO,Conduct,%Sat,ChlA,LandUse-pct_natural+wetland,1_Epifaunal_Substrate-Available_Cover,2_Pool_Substrate_Characterization,3_Pool_Variability,4_Sediment_Deposition,5_Channel_Flow_Status,6_Channel_Alteration,7_Channel_Sinuosity,8_LB_Stability,8_RB_Stability,9_LB_Vegetative_Protection,9_RB_Vegetative_Protection,10_LB_Riparian_Zone_Width,10_RB_Riparian_Zone_Width,STORAGE,DRNAREA,PRECIP,PRJUNAUG00,% slope,ElevDS
01-BLKE-0.1,10,0.3,,,,,,,,,,52.45,9,9,8,11,8,13,8,10,10,9,9,8,8,1.481764389,14.96334159,37.81498,10.13742519,0.1641,174.4206055
01-FISN-2.4,100,0.3,4,0,100,20.8,7.4,2.27,2132,25.5,,65.28,5,13,10,6,15,10,0,10,10,9,9,3,3,4.872852338,2.53736317,33.03311,9.246480306,0.2148858,185.7374609
01-GILL-0.3,,0.7,4,0.3,,24.4,8.8,11.74,476,1.4,,26.96,10,10,10,5,11,10,4,8,8,8,8,5,5,4.909907191,12.15822909,33.24277,9.138653534,0.1451533,172.62
01-GOTC-0.2,80,0.2,3,29,,21.5,7.8,12.5,2108,142,,37.72,4,3,3,7,16,2,2,9,9,8,8,10,2,1.279605228,18.15416913,38.16666,10.50946456,0.2746234,176.5302539
01-LSIS-2.0,40,0.3,20,1,,20.7,7.5,3.6,909,40.6,,64.99,17,14,15,13,19,15,13,9,8,9,8,6,10,0.388267002,6.633456829,37.46873,11.17457873,0.476164,187.4138867
01-MURD-20.0,70,0.2,5,0.07,,21,7.5,7,636,79,,42.21,17,18,17,15,17,15,17,6,9,10,10,9,2,1.44383356,27.31371385,37.1883,10.98934251,0.6279581,257.6992188
01-PION-0.9,20,0.5,4,0,,22.2,7.8,4.7,711,54,,40.92,12,16,6,13,12,13,14,5,5,6,6,10,10,0.272698107,0.722158634,37.1293,11.26263778,0.6349706,182.3599414
01-PLUT_N_T4-1.0,40,0.2,1,0.1,5,23.1,7.5,5.6,664,66,1.9,41.88,10,5,5,18,20,17,12,8,9,10,10,4,8,0.168896662,3.223610804,38.84257,10.8081181,0.3563749,215.3832617
01-STYB_T5-0.3,0,0.1,0.3,0.4,45,17.79,7.2,6.9,282,72.7,1.39,48.02,17,6,13,9,19,18,12,4,3,3,3,9,9,0.187822195,2.898790013,36.97288,12.17709841,1.4568058,431.67
01-TONA-103.5,0,0.3,1.5,38,,15,8.1,10.2,487,101,,43.86,18,19,17,15,18,13,18,9,9,10,3,9,8,2.124626746,3.142366992,40.81194,12.48555511,1.8655489,440.43
03-BEAG-1.8,10,1,4,2,96,19,7.78,4.69,820,49,,39.26,7,8,1,6,12,15,9,8,7,7,8,4,6,0.036477183,17.57241092,29.17767,9.342751959,0.2894178,80.69212891
03-CHMO-8.6,100,1,15,10,0,23,7.2,1.2,506,13,,44.57,15,10,7,5,17,15,13,8,8,8,8,8,8,2.427754638,18.90335755,35.59425,9.715838573,0.2569661,81.2945459
03-EMIL_E_T6-0.4,100,0.2,1,0,2,16.47,7.33,7.19,802,73.8,3.49,31.40,11,5,2,17,14,7,3,8,7,3,3,2,1,0,0.268676065,35.71944,10.08620865,0.4212612,182.1973242
03-FOMI_S-0.1,0,0.2,3,0,88,23,7.7,6,834,71,,51.21,10,15,5,11,13,15,13,6,6,4,4,10,9,2.411537451,6.026985675,31.92402,9.207673219,0.7000362,90.26
03-FOMI-5.5,50,0.2,2,15,44,21.8,7.4,4.7,908,54,,41.85,10,11,6,17,13,15,10,8,8,9,8,9,7,2.00376125,3.449463967,32.18466,9.242775581,0.9506388,95.78919922
03-GUFF-1.8,100,0.3,5,10,2,24.6,6.9,1.7,373,20,,39.12,17,5,3,7,17,17,10,7,7,8,8,10,10,0.095465986,3.1144877,36.43493,10.29103149,0.3643622,80.65975586
03-HRTB-2.2,20,0.2,3,70,,22,7.7,7.1,718,80,,27.67,14,16,8,12,17,13,9,6,8,5,8,2,2,3.847670983,5.579835799,42.16973,11.23046456,0.6685383,193.2015039
03-JEDO_T3-0.4,10,0.2,0.4,0.2,3,18.35,8.06,10.69,879,113,2.19,17.20,16,5,5,15,18,17,6,8,8,7,7,3,3,0.291800409,0.132330106,34.30976,9.902720462,0.7734921,139.93
03-JOHN-13.7,10,3,15,5,86,25,8.13,6.6,694,82.7,,36.42,12,2,1,12,16,12,8,3,3,5,5,3,6,1.995938631,77.12586252,33.69204,9.799964557,0.2778464,96.02445313
03-LSAM_N-7.9,,0.5,15,20,23,20.8,7.5,10.4,97,116,,94.48,,,,,,,,,,,,,,18.41430248,16.98072892,46.83226,12.17212203,0.25864,152.9382129
03-MIDL-2.4,40,0.6,3,10,36,19.3,7.73,3.61,939,39.3,,28.46,15,8,2,8,18,14,4,6,6,4,4,3,3,1.265357877,4.415701562,36.12111,10.09706692,0.1880673,186.87
03-SAND_T21-4.0,10,0.3,1,0,,18.8,6.8,5.03,95,54.5,,94.55,14,14,16,15,19,20,20,9,10,10,10,10,10,10.30138792,1.054431923,49.51247,13.25257479,0.7377948,443.6957031
03-TELV-12.8,40,0.3,3,0,55,24.5,7.4,5.1,739,61,,49.15,11,11,6,9,14,15,8,7,7,9,9,10,10,2.217195492,3.789653121,32.61198,9.377964557,0.9781205,97.26
03-YANT_T1c-0.2,80,0.12,1,10,52,18,7.46,6.45,779,68.6,,33.81,3,3,5,3,10,17,10,5,6,3,6,2,4,0.712423495,2.769664868,29.25615,9.43976377,0.3158295,91.74416016
04-BLAK_T7-3.0,30,0.3,4,0.05,40,25.2,7.4,10.2,970,115,5,38.72,14,8,10,12,18,15,15,5,7,8,8,6,2,2.746955345,1.712143826,30.01618,9.830543297,0.1244864,170.4656836
