site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida
01-FISN-2.4,0,0,6,1,0,36,0,3,0,0,0,6,1,0,0,0,0,0,3,0,0,0,142,0,0,2,0,0,0,0,0
01-GILL-0.3,75,0,0,0,0,27,3,0,0,0,0,65,0,0,0,0,1,0,0,0,0,9,0,0,0,2,0,0,4,0,14
01-GOTC-0.2,20,0,108,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,1,1,0,1,0,0,0,0,4
01-LSIS-2.4,85,0,20,10,3,36,5,8,0,0,0,14,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,1
01-MURD-20.0,67,0,4,21,0,36,15,14,0,0,0,13,2,0,0,0,3,0,9,0,0,5,2,0,0,0,0,0,0,0,9
01-PION-0.9,23,0,14,7,3,89,0,4,0,0,0,50,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0
01-PLUT_N_T4-1.0,53,38,11,8,12,52,3,0,0,0,0,12,0,0,0,0,0,0,3,0,0,1,4,0,0,1,0,0,0,0,2
01-STYB_T5-0.3,3,0,0,1,0,139,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,27
01-TONA-103.5,43,0,1,27,0,93,4,0,0,0,0,1,0,0,0,0,0,0,8,0,1,16,0,0,0,0,0,0,0,0,6
01-VBUR-0.4,5,0,6,0,2,142,0,1,0,0,0,11,0,0,2,0,0,0,0,0,0,7,5,0,0,0,0,0,6,0,13
02-BLBA-0.4,18,0,19,5,0,43,10,2,0,0,0,0,0,0,0,0,0,0,94,0,0,2,7,0,0,0,0,0,0,0,0
02-CASS-25.6,34,0,76,15,0,28,2,3,0,0,0,1,0,0,0,0,0,0,29,0,0,7,4,0,0,0,0,0,0,0,1
02-CASS-33.3,56,0,3,16,1,79,9,22,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,1
02-RAWS-0.8,45,0,12,13,1,16,31,1,0,0,0,1,0,0,0,0,19,0,33,0,0,5,9,0,0,0,0,0,3,0,11
03-BEAG-1.8,68,0,32,1,0,40,0,4,0,0,0,38,0,0,0,0,0,0,1,0,0,3,6,0,0,4,0,0,1,0,2
03-BEEK-4.5,7,0,1,0,0,62,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,40,0,0,0,0,0,1,0,3
03-CHMO-8.6,29,0,21,0,2,6,2,1,126,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,1,0,3
03-EMIL_E_T6-0.4,26,0,123,2,0,11,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,30
03-FOMI-5.5,79,0,4,0,1,14,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4
03-FOMI_S-0.1,88,0,9,8,1,71,0,0,0,2,0,16,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1
03-GUFF-0.9,13,0,49,45,0,9,12,60,0,0,0,1,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
03-HRTB-2.2,1,0,4,13,2,122,17,1,0,0,0,0,0,0,0,0,0,0,3,0,0,33,1,0,0,0,0,0,0,0,3
03-JEDO_T3-0.4,16,0,157,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,1
03-JOHN-13.7,13,0,3,15,0,127,0,3,5,0,0,11,0,0,0,0,6,0,1,0,0,10,3,0,0,2,0,0,0,0,1
03-MIDL-2.4,10,0,2,1,6,96,0,2,0,0,0,53,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,20
03-SAND_T21-4.0,4,0,0,15,0,73,0,0,0,1,0,54,0,0,0,0,0,0,3,0,0,4,11,0,0,3,0,0,0,0,32
03-TELV-12.8,111,0,6,0,1,48,3,5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,14,0,0,1,0,0,0,0,7
03-YANT_T1c-0.2,1,0,137,0,0,37,0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,6,0,0,3,0,0,0,0,8
