site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida,,event_id,site_id,basin,sample_date,arrivetime,crew,depth,width,cur_spd,algae_diaoms_presen,thickness_diatoms_present,macrophyte_pct,canopy,embeddedness,rock,rubble,gravel,sand,silt,clay,land_use,general_comment,field_water_qlty,habitat,lgs_habitat_bank,lgs_habitat_macrophyte,lgs_habitat_snag,lgs_habitat_substrate,bottom_type,dominant_substrate,water_clarity_driver,macro_comment,gradient,epifaunal_cover,embeddedness_pooling,velocity_depth_regime,sediment_deposition,flow_status,channel_alteration,riffle_bend_frequency,left_bank_stability,right_bank_stability,left_bank_veg,right_bank_veg,left_bank_veg_zone,right_bank_veg_zone,habitat_comment,temp,spcond,do_conc,do_pct_sat,ph,salinity,photo,photo_2,ref_field_yn,riffle_present,chl_a,site_condition_v1,site_condition_v2,site_condition_notes,microtox,pht_id_up,pht_id_dwn,hab_present,biosample,habitat_total_score,snag_present,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,landcover_water_pct,landcover_agdev_pct,site_id,condition_class,PC1
01-FISN-2.4,0,0,6,1,0,36,0,3,0,0,0,6,1,0,0,0,0,0,3,0,0,0,145,0,0,2,0,0,0,0,0,,01-FISN-2.4_20150804,01-FISN-2.4,1,8/4/2015,17:03:00,Heitzman Pratt,0.3,4,0,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,Field,NA,NA,NA,0,2,0,2,Very soft,Clay,Turb,NA,NA,5,13,10,6,15,10,0,10,10,9,9,3,3,Swamp,20.8,2132,2.27,25.5,7.4,NA,14392991020003.jpg,14392991020004.jpg,NA,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,N,65.27986862,4.557273847,30.16285753,0,34.72013138,01-FISN-2.4,3,-2.414288693
01-GILL-0.3,83,0,0,0,0,31,3,0,0,0,0,73,0,0,0,0,1,0,0,0,0,11,0,0,0,2,0,0,4,0,15,,01-GILL-0.3_20150804,01-GILL-0.3,1,8/4/2015,17:45:00,Heitzman Pratt,0.7,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,NA,NA,10,10,10,5,11,10,4,8,8,8,8,5,5,NA,24.4,476,11.74,1.4,8.8,NA,14392991020005.jpg,14392991020006.jpg,No,NA,NA,test,test,NA,NA,NA,NA,NA,NA,NA,NA,26.96436239,52.9182768,16.38471447,3.732646343,69.30299127,01-GILL-0.3,3,-1.764199054
01-GOTC-0.2,24,0,146,1,0,72,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,15,2,1,0,1,0,0,0,0,5,,01-GOTC-0.2_20150804,01-GOTC-0.2,1,8/4/2015,16:12:00,Duffy Mosher,0.2,3,29,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,Forest residential condos,Big Odonata; nasty site; channelized behind condos,NA,NA,0,2,1,2,Very soft,Silt,Turb,NA,NA,4,3,3,7,16,2,2,9,9,8,8,10,2,"Gross, highly channelized behind condos",21.5,2108,12.5,142,7.8,NA,14389715920003.jpg,14389715920004.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,37.71716436,47.15842703,14.20116076,0.92324784,61.35958779,01-GOTC-0.2,3,-3.435388515
01-LSIS-2.4,109,0,25,11,3,40,5,8,0,0,0,16,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,1,,01-LSIS-2.4_20150805,01-LSIS-2.4,1,8/5/2015,11:28:00,Duffy Mosher,0.3,20,1,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,Forest,Bedrock and gravel in places but predominantly mushy clay,NA,NA,2,2,2,2,Soft,Gravel,Turb,NA,NA,17,14,15,13,19,15,13,9,8,9,8,6,10,NA,20.7,909,3.6,40.6,7.5,NA,14389715920005.jpg,14389715920006.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,64.99240559,12.13533756,22.61561829,0.256638559,34.75095585,01-LSIS-2.4,2,0.121049621
01-MURD-20.0,70,0,4,21,0,36,15,14,0,0,0,13,2,0,0,0,3,0,9,0,0,5,2,0,0,0,0,0,0,0,10,,01-MURD-20.0_20150804,01-MURD-20.0,1,8/4/2015,12:40:00,Duffy Mosher,0.2,5,0.07,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,Forest agriculture,Very hard bottom. Lots of macrophytes,NA,NA,2,2,2,2,Hard,Gravel,Turb,NA,NA,17,18,17,15,17,15,17,6,9,10,10,9,2,"Hard bottom, lots of macrophytes",21,636,7,79,7.5,NA,14389715920001.jpg,14389715920002.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,42.21385025,4.402499714,53.11382352,0.269826522,57.51632323,01-MURD-20.0,2,-0.451981435
01-PION-0.9,24,0,14,8,3,97,0,4,0,0,0,53,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,,01-PION-0.9_20150805,01-PION-0.9,1,8/5/2015,12:38:00,Duffy Mosher,0.5,4,0,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,Residential Forest,Site was recently undammed. No flow at all,NA,NA,2,2,2,2,Soft,Clay,Turb,NA,NA,12,16,6,13,12,13,14,5,5,6,6,10,10,Looks like it used to be dammed,22.2,711,4.7,54,7.8,NA,14389715920007.jpg,14389715920008.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,40.9221902,29.0585975,30.0192123,0,59.0778098,01-PION-0.9,2,-0.850720735
01-PLUT_N_T4-1.0,63,46,11,10,12,58,4,0,0,0,0,13,0,0,0,0,0,0,3,0,0,1,5,0,0,1,0,0,0,0,2,,01-PLUT_N_T4-1.0_20150707,01-PLUT_N_T4-1.0,1,7/7/2015,18:08:00,Duffy RSmith,0.2,1,0.1,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,Suburban,Root mat bottom small site moved from inside airport fence.good variety of bugs,NA,NA,-9999,-9999,-9999,-9999,Soft,Silt,Turb,NA,NA,10,5,5,18,20,17,12,8,9,10,10,4,8,NA,23.1,664,5.6,66,7.5,NA,14363970980015.jpg,14363970980016.jpg,No,No,1.9,test,test,NA,NA,NA,NA,NA,NA,NA,NA,41.88024984,21.64548783,36.37734224,0.096920095,58.02283007,01-PLUT_N_T4-1.0,2,-0.677066166
01-STYB_T5-0.3,3,0,0,1,0,146,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,29,1,0,0,0,0,0,0,27,,01-STYB_T5-0.3_20150708,01-STYB_T5-0.3,1,7/8/2015,12:37:00,BDuffy; RSmith,0.1,0.3,0.4,NA,NA,0,45,NA,NA,NA,NA,NA,NA,NA,Wetlands,Directly downstream of beaver dam.,NA,NA,2,0,2,2,Very soft,Silt,NA,NA,NA,17,6,13,9,19,18,12,4,3,3,3,9,9,Site directly down stream of beaver dam.,17.79,282,6.9,72.7,7.2,NA,14363970980021.jpg,14363970980022.jpg,No,No,1.39,test,test,NA,NA,NA,NA,NA,NA,NA,Y,48.02300503,3.354900551,48.62209442,0,51.97699497,01-STYB_T5-0.3,2,-0.012279616
01-TONA-103.5,46,0,1,30,0,102,4,0,0,0,0,1,0,0,0,0,0,0,9,0,1,16,0,0,0,0,0,0,0,0,6,,01-TONA-103.5_20150806,01-TONA-103.5,1,8/6/2015,11:15:00,Duffy Mosher,0.3,1.5,38,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Forest agriculture,No macrophytes; many cobbles,NA,NA,2,0,2,2,Soft,Silt,Turb,NA,NA,18,19,17,15,18,13,18,9,9,10,3,9,8,Channelized through pasture downstream,15,487,10.2,101,8.1,NA,14389715920011.jpg,14389715920012.jpg,No,Yes,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,43.85558132,3.400684553,51.7500276,0.993706525,55.15071216,01-TONA-103.5,2,0.026905449
01-VBUR-0.4,5,0,6,0,2,143,0,1,0,0,0,12,0,0,2,0,0,0,0,0,0,7,5,0,0,0,0,0,7,0,13,,01-VBUR-0.4_20160720,01-VBUR-0.4,1,7/20/2016,13:33:00,"Heitzman, Lojps, Reigle, Onion",0.1,1,NA,90,3,0,50,50,0,10,35,35,15,5,Residential,"No pebble count Water very low, stream narrow, few rubble & coarse gravel. No current speed, almost stagnant.",Poor,Low flow,2,1,0,2,Hard,Gravel,Turbidity,NA,NA,14,15,11,16,4,11,5,8,8,9,9,5,5,NA,21.4,827,5.65,63,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14692051680023.jpg,14692051680024.jpg,NA,0,120,N,47.35786742,7.48997405,43.89006841,1.262090116,51.38004246,01-VBUR-0.4,2,-0.661743892
