WAA ID,BASIN,LOCATION,RIVMILE,SITE_LOC_ID,COLL_DATE,COLLECT,Replicate,MACRO_GENSPECIES,INDIV,Stage,TAXONOMIST,Comments,#_Grids,PercentWTSorted,TotalInd,ClientProjectName
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Antocha sp.,1,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Baetis flavistriga,4,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Caenis sp.,1,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Ceratopsyche sparna,28,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Cheumatopsyche sp.,25,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Diamesa sp.,9,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Gammarus sp.,5,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Hemerodromia sp.,2,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Hydroptila sp.,1,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Microtendipes pedellus gr.,2,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Polypedilum flavum,3,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Rheotanytarsus exiguus gr.,7,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Stenelmis sp.,8,L,WAA,1A 7L,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Thienemannimyia gr. spp.,1,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Tipula sp.,1,L,WAA,,,11.9,100,GENS SCR
470.15-001,4,BLAK,34.9,04-BLAK-34.9,7/23/2019,1,,Tvetenia vitracies,2,L,WAA,,,11.9,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Atrichopogon sp.,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Baetis intercalaris,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Caecidotea sp.,6,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Caenis sp.,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Cheumatopsyche sp.,4,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Chironomus sp.,9,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Cricotopus trifascia gr.,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Dubiraphia sp.,7,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Ectopria sp.,2,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Gammarus sp.,7,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Microtendipes pedellus gr.,14,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Oecetis sp.,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Optioservus sp.,5,L,WAA,2A 3L,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Paraleptophlebia sp.,6,L,WAA,agg 5,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Polycentropus sp.,3,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Polypedilum illinoense,2,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Stenacron sp.,1,L,WAA,early,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Stenelmis sp.,16,L,WAA,5A 8L,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Stenonema femoratum,4,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Stictochironomus sp.,4,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Thienemannimyia gr. spp.,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Undetermined Cambaridae,1,L,WAA,,,20.43,100,GENS SCR
470.15-002,4,HONY_T36,0.9,04-HONY_T36-0.9,7/23/2019,1,,Undetermined Tabanidae,3,L,WAA,,,20.43,100,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Aulodrilus sp.,2,L,WAA,,14,,205,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Caecidotea sp.,47,L,WAA,,14,,205,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Corynoneura sp.,1,L,WAA,,14,,205,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Dubiraphia sp.,1,L,WAA,,14,,205,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Micropsectra sp.,2,L,WAA,,14,,205,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Microtendipes pedellus gr.,1,L,WAA,,14,,205,GENS SCR
470.15-003,4,BLAK_N_T1,1.1,04-BLAK_N_T1-1.1,7/23/2019,9,,Neoporus sp.,1,L,WAA,,14,,205,GENS SCR
