row_index,instance_id,EVENT_SMAS_ID,MFDH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVERMILE,MFDH_EVENT_SMAS_SAMPLE_DATE,MFDH_BIOSAMPLE_COLLECT_METHOD,MFDH_BIOSAMP_COL_METHOD_NOTE,MFDH_EPHEMEROPTERA,MFDH_PLECOPTERA,MFDH_TRICHOPTERA,MFDH_COLEOPTERA,MFDH_MEGALOPTERA,MFDH_ODONATA,MFDH_CHIRONOMIDAE,MFDH_SIMULIIDAE,MFDH_DECAPODS,MFDH_GAMMARIDAE,MFDH_MOLLUSCA,MFDH_OLIGOCHAETA,MFDH_TIPULIDAE,MFDH_OTHERS,MFDH_OTHER,MFDH_FIELD_WATER_QLTY,MFDH_HABITAT,MFDH_LGS_HABITAT_BANK,MFDH_LGS_HABITAT_MACROPHYTE,MFDH_LGS_HABITAT_SNAG,MFDH_LGS_HABITAT_SUBSTRATE,MFDH_BOTTOM_TYPE,MFDH_DOMINANT_SUBSTRATE,MFDH_WATER_CLARITY_DRIVER,MFDH_MACRO_COMMENT
1,14-WDEL-1.3_19740604_1,14-WDEL-1.3_19740604,14-WDEL-1.3,14,WDEL,1.3,06/04/1974,Not_Sampled,,T,T,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
2,14-WDEL-9.5_19740604_2,14-WDEL-9.5_19740604,14-WDEL-9.5,14,WDEL,9.5,06/04/1974,Not_Sampled,,T,F,F,F,F,F,F,F,F,T,F,T,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
3,14-WDEL-16.2_19740604_3,14-WDEL-16.2_19740604,14-WDEL-16.2,14,WDEL,16.2,06/04/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
4,14-DELA-31.2_19740605_4,14-DELA-31.2_19740605,14-DELA-31.2,14,DELA,31.2,06/05/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
5,14-DELA-36.5_19740605_5,14-DELA-36.5_19740605,14-DELA-36.5,14,DELA,36.5,06/05/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
6,14-DELA-45.2_19740605_6,14-DELA-45.2_19740605,14-DELA-45.2,14,DELA,45.2,06/05/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
7,14-DELA-50.4_19740605_7,14-DELA-50.4_19740605,14-DELA-50.4,14,DELA,50.4,06/05/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
8,14-DELA-59.2_19740605_8,14-DELA-59.2_19740605,14-DELA-59.2,14,DELA,59.2,06/05/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
9,14-DELA-70.1_19740605_9,14-DELA-70.1_19740605,14-DELA-70.1,14,DELA,70.1,06/05/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
10,14-EDEL-0.8_19740605_10,14-EDEL-0.8_19740605,14-EDEL-0.8,14,EDEL,0.8,06/05/1974,Not_Sampled,,T,T,F,F,F,F,T,T,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
