FID,BAS_LOC_RM,LATITUDE,LONGITUDE,LU_pct_nat,site_con_1,ER_US_L4CO,ER_US_L3CO,ER_L4_KEY,ER_L3_KEY,LG_region
0,01-BLKE-0.1,43.050179999999997,-78.711699999999993,52.452847720000001,test,83c,83,83c  Ontario Lowlands,83  Eastern Great Lakes Lowlands,Great Lakes
1,01-FISN-2.4,43.158130000000000,-78.979799999999997,65.279868620000002,test,83c,83,83c  Ontario Lowlands,83  Eastern Great Lakes Lowlands,Great Lakes
2,01-GILL-0.3,43.082889999999999,-79.025099999999995,26.964362390000002,test,83c,83,83c  Ontario Lowlands,83  Eastern Great Lakes Lowlands,Great Lakes
3,01-GOTC-0.2,43.034059999999997,-78.707229999999996,37.717164359999998,test,83c,83,83c  Ontario Lowlands,83  Eastern Great Lakes Lowlands,Great Lakes
4,01-LSIS-2.0,42.669460000000001,-79.027490000000000,64.992405590000004,test,83a,83,83a  Erie/Ontario Lake Plain,83  Eastern Great Lakes Lowlands,Great Lakes
5,01-MURD-20.0,42.963369999999998,-78.389139999999998,42.213850250000000,test,83c,83,83c  Ontario Lowlands,83  Eastern Great Lakes Lowlands,Great Lakes
6,01-PION-0.9,42.631059999999998,-79.073160000000001,40.922190200000003,test,83a,83,83a  Erie/Ontario Lake Plain,83  Eastern Great Lakes Lowlands,Great Lakes
7,01-PLUT_N_T4-1.0,42.910499909999999,-78.622477730000000,41.880249839999998,test,83a,83,83a  Erie/Ontario Lake Plain,83  Eastern Great Lakes Lowlands,Great Lakes
8,01-STYB_T5-0.3,42.771500000000003,-78.273799999999994,48.023005030000000,test,60f,60,60f  Cattaraugus Hills,60  Northern Allegheny Plateau,Other
9,01-TONA-103.5,42.690480000000001,-78.363619999999997,43.855581319999999,test,60f,60,60f  Cattaraugus Hills,60  Northern Allegheny Plateau,Other
10,01-VBUR-0.4,42.447420000000001,-79.404070000000004,47.357867419999998,test,83a,83,83a  Erie/Ontario Lake Plain,83  Eastern Great Lakes Lowlands,Great Lakes
11,02-BLBA-0.4,42.058329999999998,-79.731939999999994,42.481558540000002,test,61c,61,61c  Low Lime Drift Plain,61  Erie Drift Plain,Other
